0,0,0
100,9910,4950
200,39808,19900
300,89711,44850
400,159608,79800
500,249510,124750
600,359411,179700
700,489312,244650
800,639216,319600
900,809108,404550
1000,999012,499500
1100,1208910,604450
1200,1438805,719400
1300,1688709,844350
1400,1958613,979300
1500,2248510,1124250
1600,2558411,1279200
1700,2888311,1444150
1800,3238206,1619100
1900,3608110,1804050
2000,3998011,1999000
2100,4407918,2203950
2200,4837814,2418900
2300,5287707,2643850
2400,5757615,2878800
2500,6247507,3123750
2600,6757416,3378700
2700,7287313,3643650
2800,7837209,3918600
2900,8407114,4203550
3000,8997009,4498500
3100,9606915,4803450
3200,10236807,5118400
3300,10886710,5443350
3400,11556612,5778300
3500,12246507,6123250
3600,12956410,6478200
3700,13686312,6843150
3800,14436209,7218100
3900,15206109,7603050
4000,15996016,7998000
4100,16805908,8402950
4200,17635813,8817900
4300,18485713,9242850
4400,19355616,9677800
4500,20245513,10122750
4600,21155411,10577700
4700,22085316,11042650
4800,23035221,11517600
4900,24005120,12002550
5000,24995012,12497500
5100,26004908,13002450
5200,27034811,13517400
5300,28084714,14042350
5400,29154607,14577300
5500,30244509,15122250
5600,31354411,15677200
5700,32484311,16242150
5800,33634216,16817100
5900,34804108,17402050
6000,35994015,17997000
6100,37203911,18601950
6200,38433810,19216900
6300,39683712,19841850
6400,40953611,20476800
6500,42243509,21121750
6600,43553413,21776700
6700,44883311,22441650
6800,46233214,23116600
6900,47603110,23801550
7000,48993014,24496500
7100,50402910,25201450
7200,51832811,25916400
7300,53282713,26641350
7400,54752613,27376300
7500,56242504,28121250
7600,57752412,28876200
7700,59282313,29641150
7800,60832206,30416100
7900,62402110,31201050
8000,63992009,31996000
8100,65601911,32800950
8200,67231811,33615900
8300,68881711,34440850
8400,70551612,35275800
8500,72241513,36120750
8600,73951412,36975700
8700,75681308,37840650
8800,77431213,38715600
8900,79201112,39600550
9000,80991012,40495500
9100,82800908,41400450
9200,84630813,42315400
9300,86480706,43240350
9400,88350610,44175300
9500,90240511,45120250
9600,92150415,46075200
9700,94080309,47040150
9800,96030216,48015100
9900,98000109,49000050
10000,99990010,49995000
